,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
1,white,women,likely,palestinian,work,next,money,national,israel,strong,alliance,country
2,justice,suffolk,killed,threaten,defend,shared,biggest,reverend,israel's,agree,meet,working
3,gun,sure,criminal,ahead,woman,understand,student,lead,iran,feel,choice,rights
4,wrong,daughter,housing,college,street,stand,times,far,peace,candidates,europe,tomorrow
5,men,school,support,state,problems,commitment,rise,reform,israeli,rights,past,child
6,opportunity,start,house,system,hold,jewish,create,air,israelis,progress,stake,find
7,clean,provide,grow,violence,deserve,relationship,schools,imagine,strong,immigrants,needs,vote
8,action,cancer,save,leader,plan,members,politics,ways,sanctions,care,bully,done
9,public,talk,barriers,real,family,defense,government,civil,especially,interests,deep,health
10,country,america's,sharpton,missile,mother,attacks,kind,country,nations,movement,trust,behind
11,major,climate,deeper,ago,fighting,support,resources,water,isis,business,issue,standing
12,funding,dignity,water,opportunities,fund,global,research,economic,secure,safe,side,results
13,education,harder,million,TRUE,talking,rockets,twice,holding,impose,pennsylvania,walking,problems
14,affordable,playing,others,stopped,comprehensive,deter,called,strategy,values,imagining,responsibilities,infrastructure
15,police,muslims,living,change,trump,oppose,applaud,course,level,homeland,threats,lift
16,TRUE,small,faith,schools,police,stay,voting,bonds,neutral,iron,extremism,matter
17,everything,debt,poverty,story,energy,defending,combat,giving,including,prevail,growing,join
18,republicans,job,law,network,try,taking,firm,affordable,around,letting,force,inequality
19,communities,walls,something's,defense,economy,able,whose,gets,cooperation,near,prime,community
20,friend,country,african-americans,global,special,danger,including,set,develop,violence,gaza,heard
